"cancer","year","sex","race","stage","age","summary_interval","starting_count","net_relative","net_rel_cum_cis_lower","net_rel_cum_cis_upper"
"all cancer sites","2000-2018","all sexes","white","early","all ages","0 mo",558370,100,NA,NA
"all cancer sites","2000-2018","all sexes","white","early","all ages","12 mo",558370,96.6,96.5,96.6
"all cancer sites","2000-2018","all sexes","white","early","all ages","24 mo",558370,94.8,94.7,94.9
"all cancer sites","2000-2018","all sexes","white","early","all ages","36 mo",558370,93.6,93.5,93.7
"all cancer sites","2000-2018","all sexes","white","early","all ages","48 mo",558370,92.5,92.4,92.6
"all cancer sites","2000-2018","all sexes","white","early","all ages","60 mo",558370,91.4,91.3,91.6
"all cancer sites","2000-2018","all sexes","white","early","all ages","72 mo",558370,90.5,90.3,90.6
"all cancer sites","2000-2018","all sexes","white","early","all ages","84 mo",558370,89.5,89.4,89.7
"all cancer sites","2000-2018","all sexes","white","early","all ages","96 mo",558370,88.4,88.2,88.6
"all cancer sites","2000-2018","all sexes","white","early","all ages","108 mo",558370,87.2,87,87.4
"all cancer sites","2000-2018","all sexes","white","early","all ages","120 mo",558370,86,85.8,86.2
"all cancer sites","2000-2018","all sexes","white","early","<65","0 mo",277045,100,NA,NA
"all cancer sites","2000-2018","all sexes","white","early","<65","12 mo",277045,98.5,98.4,98.5
"all cancer sites","2000-2018","all sexes","white","early","<65","24 mo",277045,97.2,97.1,97.2
"all cancer sites","2000-2018","all sexes","white","early","<65","36 mo",277045,96.3,96.2,96.4
"all cancer sites","2000-2018","all sexes","white","early","<65","48 mo",277045,95.7,95.6,95.8
"all cancer sites","2000-2018","all sexes","white","early","<65","60 mo",277045,95.1,94.9,95.2
"all cancer sites","2000-2018","all sexes","white","early","<65","72 mo",277045,94.5,94.4,94.6
"all cancer sites","2000-2018","all sexes","white","early","<65","84 mo",277045,94.1,93.9,94.2
"all cancer sites","2000-2018","all sexes","white","early","<65","96 mo",277045,93.6,93.5,93.8
"all cancer sites","2000-2018","all sexes","white","early","<65","108 mo",277045,93.3,93.1,93.4
"all cancer sites","2000-2018","all sexes","white","early","<65","120 mo",277045,92.9,92.8,93.1
"all cancer sites","2000-2018","all sexes","white","early",">65","0 mo",281325,100,NA,NA
"all cancer sites","2000-2018","all sexes","white","early",">65","12 mo",281325,94.7,94.6,94.8
"all cancer sites","2000-2018","all sexes","white","early",">65","24 mo",281325,92.5,92.4,92.6
"all cancer sites","2000-2018","all sexes","white","early",">65","36 mo",281325,90.9,90.7,91.1
"all cancer sites","2000-2018","all sexes","white","early",">65","48 mo",281325,89.4,89.2,89.6
"all cancer sites","2000-2018","all sexes","white","early",">65","60 mo",281325,87.9,87.7,88.1
"all cancer sites","2000-2018","all sexes","white","early",">65","72 mo",281325,86.5,86.2,86.8
"all cancer sites","2000-2018","all sexes","white","early",">65","84 mo",281325,85.1,84.8,85.4
"all cancer sites","2000-2018","all sexes","white","early",">65","96 mo",281325,83.2,82.9,83.6
"all cancer sites","2000-2018","all sexes","white","early",">65","108 mo",281325,81.3,80.9,81.6
"all cancer sites","2000-2018","all sexes","white","early",">65","120 mo",281325,79.3,78.8,79.7
"all cancer sites","2000-2018","all sexes","white","late","all ages","0 mo",461407,100,NA,NA
"all cancer sites","2000-2018","all sexes","white","late","all ages","12 mo",461407,65.5,65.3,65.6
"all cancer sites","2000-2018","all sexes","white","late","all ages","24 mo",461407,54.5,54.4,54.7
"all cancer sites","2000-2018","all sexes","white","late","all ages","36 mo",461407,48.7,48.5,48.8
"all cancer sites","2000-2018","all sexes","white","late","all ages","48 mo",461407,44.9,44.8,45.1
"all cancer sites","2000-2018","all sexes","white","late","all ages","60 mo",461407,42.1,41.9,42.3
"all cancer sites","2000-2018","all sexes","white","late","all ages","72 mo",461407,39.9,39.7,40.1
"all cancer sites","2000-2018","all sexes","white","late","all ages","84 mo",461407,38.1,38,38.3
"all cancer sites","2000-2018","all sexes","white","late","all ages","96 mo",461407,36.5,36.3,36.7
"all cancer sites","2000-2018","all sexes","white","late","all ages","108 mo",461407,35.1,34.9,35.3
"all cancer sites","2000-2018","all sexes","white","late","all ages","120 mo",461407,33.8,33.6,34
"all cancer sites","2000-2018","all sexes","white","late","<65","0 mo",201685,100,NA,NA
"all cancer sites","2000-2018","all sexes","white","late","<65","12 mo",201685,75.9,75.7,76.1
"all cancer sites","2000-2018","all sexes","white","late","<65","24 mo",201685,65.5,65.3,65.7
"all cancer sites","2000-2018","all sexes","white","late","<65","36 mo",201685,59.7,59.5,60
"all cancer sites","2000-2018","all sexes","white","late","<65","48 mo",201685,56.1,55.9,56.3
"all cancer sites","2000-2018","all sexes","white","late","<65","60 mo",201685,53.4,53.2,53.6
"all cancer sites","2000-2018","all sexes","white","late","<65","72 mo",201685,51.4,51.2,51.6
"all cancer sites","2000-2018","all sexes","white","late","<65","84 mo",201685,49.8,49.6,50.1
"all cancer sites","2000-2018","all sexes","white","late","<65","96 mo",201685,48.5,48.2,48.7
"all cancer sites","2000-2018","all sexes","white","late","<65","108 mo",201685,47.3,47,47.6
"all cancer sites","2000-2018","all sexes","white","late","<65","120 mo",201685,46.2,45.9,46.5
"all cancer sites","2000-2018","all sexes","white","late",">65","0 mo",259722,100,NA,NA
"all cancer sites","2000-2018","all sexes","white","late",">65","12 mo",259722,57.4,57.2,57.6
"all cancer sites","2000-2018","all sexes","white","late",">65","24 mo",259722,46,45.8,46.2
"all cancer sites","2000-2018","all sexes","white","late",">65","36 mo",259722,40.1,39.8,40.3
"all cancer sites","2000-2018","all sexes","white","late",">65","48 mo",259722,36.3,36,36.5
"all cancer sites","2000-2018","all sexes","white","late",">65","60 mo",259722,33.3,33.1,33.5
"all cancer sites","2000-2018","all sexes","white","late",">65","72 mo",259722,31,30.7,31.2
"all cancer sites","2000-2018","all sexes","white","late",">65","84 mo",259722,29,28.8,29.3
"all cancer sites","2000-2018","all sexes","white","late",">65","96 mo",259722,27.2,26.9,27.5
"all cancer sites","2000-2018","all sexes","white","late",">65","108 mo",259722,25.6,25.3,25.9
"all cancer sites","2000-2018","all sexes","white","late",">65","120 mo",259722,24.2,23.9,24.5
"all cancer sites","2000-2018","all sexes","white","unstaged","all ages","0 mo",69472,100,NA,NA
"all cancer sites","2000-2018","all sexes","white","unstaged","all ages","12 mo",69472,53,52.6,53.4
"all cancer sites","2000-2018","all sexes","white","unstaged","all ages","24 mo",69472,45.8,45.4,46.2
"all cancer sites","2000-2018","all sexes","white","unstaged","all ages","36 mo",69472,41.9,41.5,42.3
"all cancer sites","2000-2018","all sexes","white","unstaged","all ages","48 mo",69472,39.3,38.9,39.8
"all cancer sites","2000-2018","all sexes","white","unstaged","all ages","60 mo",69472,37.4,36.9,37.8
"all cancer sites","2000-2018","all sexes","white","unstaged","all ages","72 mo",69472,35.6,35.1,36.1
"all cancer sites","2000-2018","all sexes","white","unstaged","all ages","84 mo",69472,34,33.5,34.5
"all cancer sites","2000-2018","all sexes","white","unstaged","all ages","96 mo",69472,32.7,32.2,33.2
"all cancer sites","2000-2018","all sexes","white","unstaged","all ages","108 mo",69472,31.1,30.6,31.7
"all cancer sites","2000-2018","all sexes","white","unstaged","all ages","120 mo",69472,30,29.4,30.5
"all cancer sites","2000-2018","all sexes","white","unstaged","<65","0 mo",19471,100,NA,NA
"all cancer sites","2000-2018","all sexes","white","unstaged","<65","12 mo",19471,70.1,69.4,70.7
"all cancer sites","2000-2018","all sexes","white","unstaged","<65","24 mo",19471,63.2,62.5,63.9
"all cancer sites","2000-2018","all sexes","white","unstaged","<65","36 mo",19471,59.8,59.1,60.5
"all cancer sites","2000-2018","all sexes","white","unstaged","<65","48 mo",19471,57.5,56.8,58.3
"all cancer sites","2000-2018","all sexes","white","unstaged","<65","60 mo",19471,55.9,55.1,56.6
"all cancer sites","2000-2018","all sexes","white","unstaged","<65","72 mo",19471,54.3,53.5,55
"all cancer sites","2000-2018","all sexes","white","unstaged","<65","84 mo",19471,53,52.2,53.8
"all cancer sites","2000-2018","all sexes","white","unstaged","<65","96 mo",19471,51.8,51,52.5
"all cancer sites","2000-2018","all sexes","white","unstaged","<65","108 mo",19471,50.8,49.9,51.5
"all cancer sites","2000-2018","all sexes","white","unstaged","<65","120 mo",19471,49.9,49.1,50.7
"all cancer sites","2000-2018","all sexes","white","unstaged",">65","0 mo",50001,100,NA,NA
"all cancer sites","2000-2018","all sexes","white","unstaged",">65","12 mo",50001,46.4,45.9,46.8
"all cancer sites","2000-2018","all sexes","white","unstaged",">65","24 mo",50001,39,38.5,39.5
"all cancer sites","2000-2018","all sexes","white","unstaged",">65","36 mo",50001,34.9,34.4,35.4
"all cancer sites","2000-2018","all sexes","white","unstaged",">65","48 mo",50001,32.3,31.8,32.8
"all cancer sites","2000-2018","all sexes","white","unstaged",">65","60 mo",50001,30.2,29.7,30.7
"all cancer sites","2000-2018","all sexes","white","unstaged",">65","72 mo",50001,28.4,27.8,28.9
"all cancer sites","2000-2018","all sexes","white","unstaged",">65","84 mo",50001,26.7,26.1,27.2
"all cancer sites","2000-2018","all sexes","white","unstaged",">65","96 mo",50001,25.3,24.7,25.9
"all cancer sites","2000-2018","all sexes","white","unstaged",">65","108 mo",50001,23.6,23,24.3
"all cancer sites","2000-2018","all sexes","white","unstaged",">65","120 mo",50001,22.4,21.7,23
"all cancer sites","2000-2018","all sexes","black","invasive","all ages","0 mo",100348,100,NA,NA
"all cancer sites","2000-2018","all sexes","black","invasive","all ages","12 mo",100348,76.7,76.5,77
"all cancer sites","2000-2018","all sexes","black","invasive","all ages","24 mo",100348,69,68.7,69.4
"all cancer sites","2000-2018","all sexes","black","invasive","all ages","36 mo",100348,64.8,64.5,65.1
"all cancer sites","2000-2018","all sexes","black","invasive","all ages","48 mo",100348,62.1,61.8,62.5
"all cancer sites","2000-2018","all sexes","black","invasive","all ages","60 mo",100348,60.1,59.7,60.5
"all cancer sites","2000-2018","all sexes","black","invasive","all ages","72 mo",100348,58.4,58,58.8
"all cancer sites","2000-2018","all sexes","black","invasive","all ages","84 mo",100348,57.1,56.7,57.5
"all cancer sites","2000-2018","all sexes","black","invasive","all ages","96 mo",100348,55.8,55.4,56.3
"all cancer sites","2000-2018","all sexes","black","invasive","all ages","108 mo",100348,54.7,54.2,55.2
"all cancer sites","2000-2018","all sexes","black","invasive","all ages","120 mo",100348,53.6,53.1,54.1
"all cancer sites","2000-2018","all sexes","black","invasive","<65","0 mo",56341,100,NA,NA
"all cancer sites","2000-2018","all sexes","black","invasive","<65","12 mo",56341,82,81.7,82.3
"all cancer sites","2000-2018","all sexes","black","invasive","<65","24 mo",56341,74.4,74,74.7
"all cancer sites","2000-2018","all sexes","black","invasive","<65","36 mo",56341,70.2,69.8,70.6
"all cancer sites","2000-2018","all sexes","black","invasive","<65","48 mo",56341,67.6,67.2,68
"all cancer sites","2000-2018","all sexes","black","invasive","<65","60 mo",56341,65.6,65.2,66
"all cancer sites","2000-2018","all sexes","black","invasive","<65","72 mo",56341,63.9,63.5,64.4
"all cancer sites","2000-2018","all sexes","black","invasive","<65","84 mo",56341,62.7,62.2,63.2
"all cancer sites","2000-2018","all sexes","black","invasive","<65","96 mo",56341,61.6,61.1,62.1
"all cancer sites","2000-2018","all sexes","black","invasive","<65","108 mo",56341,60.7,60.2,61.2
"all cancer sites","2000-2018","all sexes","black","invasive","<65","120 mo",56341,59.9,59.4,60.5
"all cancer sites","2000-2018","all sexes","black","invasive",">65","0 mo",44007,100,NA,NA
"all cancer sites","2000-2018","all sexes","black","invasive",">65","12 mo",44007,70,69.5,70.4
"all cancer sites","2000-2018","all sexes","black","invasive",">65","24 mo",44007,62.2,61.7,62.7
"all cancer sites","2000-2018","all sexes","black","invasive",">65","36 mo",44007,57.9,57.3,58.4
"all cancer sites","2000-2018","all sexes","black","invasive",">65","48 mo",44007,55.1,54.5,55.7
"all cancer sites","2000-2018","all sexes","black","invasive",">65","60 mo",44007,53.1,52.5,53.7
"all cancer sites","2000-2018","all sexes","black","invasive",">65","72 mo",44007,51.3,50.6,52
"all cancer sites","2000-2018","all sexes","black","invasive",">65","84 mo",44007,49.9,49.2,50.6
"all cancer sites","2000-2018","all sexes","black","invasive",">65","96 mo",44007,48.5,47.7,49.3
"all cancer sites","2000-2018","all sexes","black","invasive",">65","108 mo",44007,47.1,46.3,47.9
"all cancer sites","2000-2018","all sexes","black","invasive",">65","120 mo",44007,45.6,44.7,46.5
"all cancer sites","2000-2018","all sexes","black","early","all ages","0 mo",49943,100,NA,NA
"all cancer sites","2000-2018","all sexes","black","early","all ages","12 mo",49943,96.2,96,96.4
"all cancer sites","2000-2018","all sexes","black","early","all ages","24 mo",49943,94.1,93.8,94.4
"all cancer sites","2000-2018","all sexes","black","early","all ages","36 mo",49943,92.6,92.2,92.9
"all cancer sites","2000-2018","all sexes","black","early","all ages","48 mo",49943,91.5,91.1,91.9
"all cancer sites","2000-2018","all sexes","black","early","all ages","60 mo",49943,90.5,90,90.9
"all cancer sites","2000-2018","all sexes","black","early","all ages","72 mo",49943,89.5,89,90
"all cancer sites","2000-2018","all sexes","black","early","all ages","84 mo",49943,88.7,88.1,89.2
"all cancer sites","2000-2018","all sexes","black","early","all ages","96 mo",49943,87.7,87.1,88.3
"all cancer sites","2000-2018","all sexes","black","early","all ages","108 mo",49943,86.7,86,87.4
"all cancer sites","2000-2018","all sexes","black","early","all ages","120 mo",49943,85.7,84.9,86.4
"all cancer sites","2000-2018","all sexes","black","early","<65","0 mo",29765,100,NA,NA
"all cancer sites","2000-2018","all sexes","black","early","<65","12 mo",29765,97.3,97.1,97.5
"all cancer sites","2000-2018","all sexes","black","early","<65","24 mo",29765,95.5,95.2,95.7
"all cancer sites","2000-2018","all sexes","black","early","<65","36 mo",29765,94,93.6,94.3
"all cancer sites","2000-2018","all sexes","black","early","<65","48 mo",29765,92.9,92.5,93.3
"all cancer sites","2000-2018","all sexes","black","early","<65","60 mo",29765,91.9,91.5,92.3
"all cancer sites","2000-2018","all sexes","black","early","<65","72 mo",29765,91,90.5,91.5
"all cancer sites","2000-2018","all sexes","black","early","<65","84 mo",29765,90.4,89.9,90.9
"all cancer sites","2000-2018","all sexes","black","early","<65","96 mo",29765,89.7,89.1,90.2
"all cancer sites","2000-2018","all sexes","black","early","<65","108 mo",29765,89.2,88.6,89.8
"all cancer sites","2000-2018","all sexes","black","early","<65","120 mo",29765,88.5,87.8,89.2
"all cancer sites","2000-2018","all sexes","black","early",">65","0 mo",20178,100,NA,NA
"all cancer sites","2000-2018","all sexes","black","early",">65","12 mo",20178,94.7,94.2,95.1
"all cancer sites","2000-2018","all sexes","black","early",">65","24 mo",20178,92.2,91.6,92.7
"all cancer sites","2000-2018","all sexes","black","early",">65","36 mo",20178,90.4,89.8,91.1
"all cancer sites","2000-2018","all sexes","black","early",">65","48 mo",20178,89.4,88.6,90.2
"all cancer sites","2000-2018","all sexes","black","early",">65","60 mo",20178,88.3,87.4,89.2
"all cancer sites","2000-2018","all sexes","black","early",">65","72 mo",20178,87.2,86.2,88.2
"all cancer sites","2000-2018","all sexes","black","early",">65","84 mo",20178,86.2,85,87.3
"all cancer sites","2000-2018","all sexes","black","early",">65","96 mo",20178,84.8,83.5,86
"all cancer sites","2000-2018","all sexes","black","early",">65","108 mo",20178,83.2,81.8,84.5
"all cancer sites","2000-2018","all sexes","black","early",">65","120 mo",20178,81.6,80,83.1
"all cancer sites","2000-2018","all sexes","black","late","all ages","0 mo",49204,100,NA,NA
"all cancer sites","2000-2018","all sexes","black","late","all ages","12 mo",49204,62.9,62.5,63.4
"all cancer sites","2000-2018","all sexes","black","late","all ages","24 mo",49204,50.5,50.1,51
"all cancer sites","2000-2018","all sexes","black","late","all ages","36 mo",49204,44.1,43.6,44.6
"all cancer sites","2000-2018","all sexes","black","late","all ages","48 mo",49204,40,39.6,40.5
"all cancer sites","2000-2018","all sexes","black","late","all ages","60 mo",49204,37.3,36.8,37.8
"all cancer sites","2000-2018","all sexes","black","late","all ages","72 mo",49204,34.9,34.4,35.5
"all cancer sites","2000-2018","all sexes","black","late","all ages","84 mo",49204,33.3,32.8,33.8
"all cancer sites","2000-2018","all sexes","black","late","all ages","96 mo",49204,31.9,31.3,32.4
"all cancer sites","2000-2018","all sexes","black","late","all ages","108 mo",49204,30.5,29.9,31.1
"all cancer sites","2000-2018","all sexes","black","late","all ages","120 mo",49204,29.4,28.8,30
"all cancer sites","2000-2018","all sexes","black","late","<65","0 mo",27522,100,NA,NA
"all cancer sites","2000-2018","all sexes","black","late","<65","12 mo",27522,70,69.4,70.5
"all cancer sites","2000-2018","all sexes","black","late","<65","24 mo",27522,57.2,56.6,57.8
"all cancer sites","2000-2018","all sexes","black","late","<65","36 mo",27522,50.8,50.1,51.4
"all cancer sites","2000-2018","all sexes","black","late","<65","48 mo",27522,46.8,46.2,47.4
"all cancer sites","2000-2018","all sexes","black","late","<65","60 mo",27522,43.9,43.3,44.6
"all cancer sites","2000-2018","all sexes","black","late","<65","72 mo",27522,41.6,40.9,42.2
"all cancer sites","2000-2018","all sexes","black","late","<65","84 mo",27522,39.9,39.2,40.5
"all cancer sites","2000-2018","all sexes","black","late","<65","96 mo",27522,38.5,37.8,39.2
"all cancer sites","2000-2018","all sexes","black","late","<65","108 mo",27522,37.3,36.6,37.9
"all cancer sites","2000-2018","all sexes","black","late","<65","120 mo",27522,36.4,35.7,37.1
"all cancer sites","2000-2018","all sexes","black","late",">65","0 mo",21682,100,NA,NA
"all cancer sites","2000-2018","all sexes","black","late",">65","12 mo",21682,53.9,53.2,54.6
"all cancer sites","2000-2018","all sexes","black","late",">65","24 mo",21682,42.1,41.4,42.8
"all cancer sites","2000-2018","all sexes","black","late",">65","36 mo",21682,35.7,34.9,36.4
"all cancer sites","2000-2018","all sexes","black","late",">65","48 mo",21682,31.4,30.7,32.2
"all cancer sites","2000-2018","all sexes","black","late",">65","60 mo",21682,28.8,28.1,29.6
"all cancer sites","2000-2018","all sexes","black","late",">65","72 mo",21682,26.5,25.7,27.3
"all cancer sites","2000-2018","all sexes","black","late",">65","84 mo",21682,25,24.2,25.8
"all cancer sites","2000-2018","all sexes","black","late",">65","96 mo",21682,23.4,22.6,24.3
"all cancer sites","2000-2018","all sexes","black","late",">65","108 mo",21682,21.9,21,22.8
"all cancer sites","2000-2018","all sexes","black","late",">65","120 mo",21682,20.6,19.7,21.5
"all cancer sites","2000-2018","all sexes","black","unstaged","all ages","0 mo",7305,100,NA,NA
"all cancer sites","2000-2018","all sexes","black","unstaged","all ages","12 mo",7305,55.4,54.2,56.6
"all cancer sites","2000-2018","all sexes","black","unstaged","all ages","24 mo",7305,47.3,46,48.5
"all cancer sites","2000-2018","all sexes","black","unstaged","all ages","36 mo",7305,42.5,41.2,43.8
"all cancer sites","2000-2018","all sexes","black","unstaged","all ages","48 mo",7305,39.9,38.6,41.2
"all cancer sites","2000-2018","all sexes","black","unstaged","all ages","60 mo",7305,37.4,36.1,38.7
"all cancer sites","2000-2018","all sexes","black","unstaged","all ages","72 mo",7305,35.5,34.1,36.9
"all cancer sites","2000-2018","all sexes","black","unstaged","all ages","84 mo",7305,33.7,32.3,35.1
"all cancer sites","2000-2018","all sexes","black","unstaged","all ages","96 mo",7305,32,30.6,33.5
"all cancer sites","2000-2018","all sexes","black","unstaged","all ages","108 mo",7305,31,29.5,32.5
"all cancer sites","2000-2018","all sexes","black","unstaged","all ages","120 mo",7305,29.7,28.1,31.3
"all cancer sites","2000-2018","all sexes","black","unstaged","<65","0 mo",3161,100,NA,NA
"all cancer sites","2000-2018","all sexes","black","unstaged","<65","12 mo",3161,66.1,64.4,67.8
"all cancer sites","2000-2018","all sexes","black","unstaged","<65","24 mo",3161,58.1,56.3,59.9
"all cancer sites","2000-2018","all sexes","black","unstaged","<65","36 mo",3161,53.6,51.8,55.4
"all cancer sites","2000-2018","all sexes","black","unstaged","<65","48 mo",3161,51,49.1,52.8
"all cancer sites","2000-2018","all sexes","black","unstaged","<65","60 mo",3161,49.2,47.3,51
"all cancer sites","2000-2018","all sexes","black","unstaged","<65","72 mo",3161,47.6,45.7,49.5
"all cancer sites","2000-2018","all sexes","black","unstaged","<65","84 mo",3161,46.1,44.1,48
"all cancer sites","2000-2018","all sexes","black","unstaged","<65","96 mo",3161,43.9,41.9,45.9
"all cancer sites","2000-2018","all sexes","black","unstaged","<65","108 mo",3161,42.9,40.8,44.9
"all cancer sites","2000-2018","all sexes","black","unstaged","<65","120 mo",3161,42,39.9,44
"all cancer sites","2000-2018","all sexes","black","unstaged",">65","0 mo",4144,100,NA,NA
"all cancer sites","2000-2018","all sexes","black","unstaged",">65","12 mo",4144,47.2,45.6,48.8
"all cancer sites","2000-2018","all sexes","black","unstaged",">65","24 mo",4144,39,37.3,40.6
"all cancer sites","2000-2018","all sexes","black","unstaged",">65","36 mo",4144,34,32.3,35.7
"all cancer sites","2000-2018","all sexes","black","unstaged",">65","48 mo",4144,31.4,29.7,33.1
"all cancer sites","2000-2018","all sexes","black","unstaged",">65","60 mo",4144,28.5,26.7,30.3
"all cancer sites","2000-2018","all sexes","black","unstaged",">65","72 mo",4144,26.4,24.6,28.2
"all cancer sites","2000-2018","all sexes","black","unstaged",">65","84 mo",4144,24.4,22.5,26.3
"all cancer sites","2000-2018","all sexes","black","unstaged",">65","96 mo",4144,23,21.1,24.9
"all cancer sites","2000-2018","all sexes","black","unstaged",">65","108 mo",4144,22,20,24.1
"all cancer sites","2000-2018","all sexes","black","unstaged",">65","120 mo",4144,20.5,18.4,22.7
"all cancer sites","2000-2018","all sexes","all races","invasive","all ages","0 mo",1132242,100,NA,NA
"all cancer sites","2000-2018","all sexes","all races","invasive","all ages","12 mo",1132242,79.1,79,79.2
"all cancer sites","2000-2018","all sexes","all races","invasive","all ages","24 mo",1132242,72.6,72.5,72.7
"all cancer sites","2000-2018","all sexes","all races","invasive","all ages","36 mo",1132242,68.9,68.8,69
"all cancer sites","2000-2018","all sexes","all races","invasive","all ages","48 mo",1132242,66.5,66.4,66.6
"all cancer sites","2000-2018","all sexes","all races","invasive","all ages","60 mo",1132242,64.5,64.4,64.6
"all cancer sites","2000-2018","all sexes","all races","invasive","all ages","72 mo",1132242,62.9,62.8,63
"all cancer sites","2000-2018","all sexes","all races","invasive","all ages","84 mo",1132242,61.5,61.4,61.6
"all cancer sites","2000-2018","all sexes","all races","invasive","all ages","96 mo",1132242,60.1,60,60.3
"all cancer sites","2000-2018","all sexes","all races","invasive","all ages","108 mo",1132242,58.8,58.7,59
"all cancer sites","2000-2018","all sexes","all races","invasive","all ages","120 mo",1132242,57.6,57.4,57.8
"all cancer sites","2000-2018","all sexes","all races","invasive","<65","0 mo",521360,100,NA,NA
"all cancer sites","2000-2018","all sexes","all races","invasive","<65","12 mo",521360,86.6,86.5,86.7
"all cancer sites","2000-2018","all sexes","all races","invasive","<65","24 mo",521360,80.7,80.6,80.9
"all cancer sites","2000-2018","all sexes","all races","invasive","<65","36 mo",521360,77.5,77.3,77.6
"all cancer sites","2000-2018","all sexes","all races","invasive","<65","48 mo",521360,75.3,75.2,75.4
"all cancer sites","2000-2018","all sexes","all races","invasive","<65","60 mo",521360,73.7,73.5,73.8
"all cancer sites","2000-2018","all sexes","all races","invasive","<65","72 mo",521360,72.4,72.2,72.5
"all cancer sites","2000-2018","all sexes","all races","invasive","<65","84 mo",521360,71.4,71.2,71.5
"all cancer sites","2000-2018","all sexes","all races","invasive","<65","96 mo",521360,70.4,70.3,70.6
"all cancer sites","2000-2018","all sexes","all races","invasive","<65","108 mo",521360,69.7,69.5,69.8
"all cancer sites","2000-2018","all sexes","all races","invasive","<65","120 mo",521360,69,68.8,69.1
"all cancer sites","2000-2018","all sexes","all races","invasive",">65","0 mo",610882,100,NA,NA
"all cancer sites","2000-2018","all sexes","all races","invasive",">65","12 mo",610882,72.7,72.5,72.8
"all cancer sites","2000-2018","all sexes","all races","invasive",">65","24 mo",610882,65.6,65.5,65.7
"all cancer sites","2000-2018","all sexes","all races","invasive",">65","36 mo",610882,61.7,61.5,61.8
"all cancer sites","2000-2018","all sexes","all races","invasive",">65","48 mo",610882,58.9,58.8,59.1
"all cancer sites","2000-2018","all sexes","all races","invasive",">65","60 mo",610882,56.7,56.6,56.9
"all cancer sites","2000-2018","all sexes","all races","invasive",">65","72 mo",610882,54.8,54.7,55
"all cancer sites","2000-2018","all sexes","all races","invasive",">65","84 mo",610882,53.1,52.9,53.3
"all cancer sites","2000-2018","all sexes","all races","invasive",">65","96 mo",610882,51.4,51.2,51.6
